location,scenario,avg_price_EUR_per_MWh,std_price_EUR_per_MWh,avg_daily_spread_EUR_per_MWh,avg_pv_cf,hours
Stuttgart,PV_only,82.99735765124555,90.09615977822291,50.654174650971804,0.13360899717127475,87672
Stuttgart,PV_battery_sell_only,82.99735765124555,90.09615977822291,50.654174650971804,0.13360899717127475,87672
Stuttgart,PV_battery_grid_buy,82.99735765124555,90.09615977822291,50.654174650971804,0.13360899717127475,87672
Duesseldorf,PV_only,82.99735765124555,90.09615977822291,50.654174650971804,0.12289176704078839,87672
Duesseldorf,PV_battery_sell_only,82.99735765124555,90.09615977822291,50.654174650971804,0.12289176704078839,87672
Duesseldorf,PV_battery_grid_buy,82.99735765124555,90.09615977822291,50.654174650971804,0.12289176704078839,87672
Schleswig-Holstein,PV_only,82.99735765124555,90.09615977822291,50.654174650971804,0.11841424856282506,87672
Schleswig-Holstein,PV_battery_sell_only,82.99735765124555,90.09615977822291,50.654174650971804,0.11841424856282506,87672
Schleswig-Holstein,PV_battery_grid_buy,82.99735765124555,90.09615977822291,50.654174650971804,0.11841424856282506,87672
Stuttgart,battery_cost_sensitivity_sell_only,82.99735765124555,90.09615977822291,50.654174650971804,0.13360899717127475,87672
Stuttgart,battery_cost_sensitivity_sell_only,82.99735765124555,90.09615977822291,50.654174650971804,0.13360899717127475,87672
Stuttgart,battery_cost_sensitivity_sell_only,82.99735765124555,90.09615977822291,50.654174650971804,0.13360899717127475,87672
Stuttgart,battery_cost_sensitivity_sell_only,82.99735765124555,90.09615977822291,50.654174650971804,0.13360899717127475,87672
Stuttgart,battery_cost_sensitivity_sell_only,82.99735765124555,90.09615977822291,50.654174650971804,0.13360899717127475,87672
