year;id_aep_mean_EUR_per_MWh;id_aep_std_EUR_per_MWh;id_aep_min_EUR_per_MWh;id_aep_max_EUR_per_MWh
2020;39,05376386687797;35,602161834716064;-369,92;2196,83
2021;97,54493150684931;82,03749637960118;-116,23;2371,12
2022;234,96184360730592;162,7136575675458;-369,99;2860,61
2023;98,78358533105023;101,8237195733646;-1047,46;8522,0
2024;83,78137551229509;173,03422097543714;-4587,57;9700,51
